date,symbol,part,source,detail,claimed,expected,gap,tol,status
2026-09-18,META,A,context,1-day move %,,-2.427048441238755,,,not_found
2026-09-18,META,A,context,5-day move %,,2.653427549163978,,,not_found
2026-09-18,META,A,context,20-day move %,,21.874029605007507,,,not_found
2026-09-18,META,A,context,distance from 60-day high %,,-2.427048441238755,,,not_found
2026-09-18,META,A,context,distance from 252-day high %,,-14.614938850724702,,,not_found
2026-09-18,META,A,context,20-day volatility %,,30.320619176777885,,,not_found
2026-09-18,META,A,context,RSI,,65.7628736134569,,,not_found
2026-09-18,META,A,context,engine confidence %,,50.0,,,not_found
2026-09-18,META,A,context,engine signal,,HOLD,,,not_found
2026-09-18,META,A,context,risk score,,49.1,,,not_found
2026-09-18,META,A,context,risk level,,MEDIUM,,,not_found
2026-09-18,META,A,context,macro line (verbatim),absent,present,,,not_found
2026-09-18,META,C,analyst:Technological Innovator|gemini-3.6-flash,50%,50.0,,,,unsupported
2026-09-18,META,C,analyst:Technological Innovator|gemini-3.6-flash,22.0%,22.0,,,,unsupported
2026-09-18,META,C,analyst:Technological Innovator|gemini-3.6-flash,20,20.0,,,,unsupported
2026-09-18,META,C,analyst:Personal Context|gemini-3.6-flash,50%,50.0,,,,unsupported
2026-09-18,META,C,analyst:Personal Context|gemini-3.6-flash,20,20.0,,,,unsupported
2026-09-18,META,C,analyst:Personal Context|gemini-3.6-flash,30%,30.0,,,,unsupported
2026-09-18,META,C,analyst:Global Macro|gemini-3.6-flash,1.35,1.35,,,,unsupported
2026-09-18,META,C,analyst:Global Macro|gemini-3.6-flash,20,20.0,,,,unsupported
2026-09-18,META,C,analyst:Global Macro|gemini-3.6-flash,30%,30.0,,,,unsupported
2026-09-18,META,C,analyst:Global Macro|gemini-3.6-flash,20,20.0,,,,unsupported
2026-09-18,META,C,analyst:Global Macro|gemini-3.6-flash,50,50.0,,,,unsupported
2026-09-18,META,C,analyst:Behavioral Coach|gemini-3.6-flash,22.0%,22.0,,,,unsupported
2026-09-18,META,C,analyst:Behavioral Coach|gemini-3.6-flash,20,20.0,,,,unsupported
2026-09-18,META,C,analyst:Behavioral Coach|gemini-3.6-flash,2.4%,2.4,,,,unsupported
2026-09-18,META,C,analyst:Behavioral Coach|gemini-3.6-flash,60,60.0,,,,unsupported
2026-09-18,META,C,analyst:Risk Manager|gemini-flash-latest,30%,30.0,,,,unsupported
2026-09-18,META,C,analyst:Risk Manager|gemini-flash-latest,1.35,1.35,,,,unsupported
2026-09-18,META,C,analyst:Value Investor|gemini-3.7-flash,665.75,665.75,,,,unsupported
2026-09-18,META,C,analyst:Value Investor|gemini-3.7-flash,2.4%,2.4,,,,unsupported
2026-09-18,META,C,analyst:Value Investor|gemini-3.7-flash,60,60.0,,,,unsupported
2026-09-18,META,C,analyst:Value Investor|gemini-3.7-flash,20,20.0,,,,unsupported
2026-09-18,META,C,analyst:Value Investor|gemini-3.7-flash,22.0%,22.0,,,,unsupported
2026-09-18,META,C,analyst:Value Investor|gemini-3.7-flash,60.2,60.2,,,,unsupported
2026-09-18,META,C,analyst:Value Investor|gemini-3.7-flash,20,20.0,,,,unsupported
2026-09-18,META,C,analyst:Value Investor|gemini-3.7-flash,50,50.0,,,,unsupported
2026-09-18,META,C,analyst:Value Investor|gemini-3.7-flash,1.47x,1.47,,,,unsupported
2026-09-18,META,C,analyst:Quantitative Strategist|gemini-flash-latest,20,20.0,,,,unsupported
2026-09-18,META,C,analyst:Quantitative Strategist|gemini-flash-latest,+22.0%,22.0,,,,unsupported
2026-09-18,META,C,analyst:Quantitative Strategist|gemini-flash-latest,-2.4%,-2.4,,,,unsupported
2026-09-18,META,C,analyst:Quantitative Strategist|gemini-flash-latest,60,60.0,,,,unsupported
2026-09-18,META,C,analyst:Quantitative Strategist|gemini-flash-latest,60.2,60.2,,,,unsupported
2026-09-18,META,C,analyst:Quantitative Strategist|gemini-flash-latest,20,20.0,,,,unsupported
2026-09-18,META,C,analyst:Quantitative Strategist|gemini-flash-latest,50,50.0,,,,unsupported
2026-09-21,AAPL,A,context,last price,338.98,338.980011,1.1e-05,0.005,verified
2026-09-21,AAPL,A,context,1-day move %,0.8,0.847888,0.047888,0.05,verified
2026-09-21,AAPL,A,context,5-day move %,1.8,1.771354,0.028646,0.05,verified
2026-09-21,AAPL,A,context,20-day move %,9.6,9.578149,0.021851,0.05,verified
2026-09-21,AAPL,A,context,distance from 60-day high %,-0.2,-0.237477,0.037477,0.05,verified
2026-09-21,AAPL,A,context,distance from 252-day high %,-0.2,-0.237477,0.037477,0.05,verified
2026-09-21,AAPL,A,context,20-day volatility %,22.0,21.572724,0.427276,0.5,verified
2026-09-21,AAPL,A,context,RSI,66.4,66.366128,0.033872,0.05,verified
2026-09-21,AAPL,A,context,engine confidence %,50.0,50.0,0.0,0.5,verified
2026-09-21,AAPL,A,context,engine signal,HOLD,HOLD,,,verified
2026-09-21,AAPL,A,context,above/below 200-day average,above,above,,,verified
2026-09-21,AAPL,A,context,risk score,19.0,18.6,0.4,0.5,verified
2026-09-21,AAPL,A,context,risk level,LOW,LOW,,,verified
2026-09-21,AAPL,A,context,macro line (verbatim),present,present,,,verified
2026-09-21,AAPL,A,context,Sharpe (not independently checked),,,,,not_checked
2026-09-21,AAPL,A,context,win rate (not independently checked),,,,,not_checked
2026-09-21,AAPL,A,context,beta (not independently checked),,,,,not_checked
2026-09-21,AAPL,A,context,correlation (not independently checked),,,,,not_checked
2026-09-21,AAPL,A,context,percentile (not independently checked),,,,,not_checked
2026-09-21,AAPL,B,ceo.headline,headline vote-weight %,100.0,100.0,0.0,0.5,verified
2026-09-21,AAPL,C,analyst:Quantitative Strategist|gemini-3.6-flash,-0.2%,-0.2,,,,supported
2026-09-21,AAPL,C,analyst:Quantitative Strategist|gemini-3.6-flash,60,60.0,,,,supported
2026-09-21,AAPL,C,analyst:Quantitative Strategist|gemini-3.6-flash,252,252.0,,,,supported
2026-09-21,AAPL,C,analyst:Quantitative Strategist|gemini-3.6-flash,20,20.0,,,,supported
2026-09-21,AAPL,C,analyst:Quantitative Strategist|gemini-3.6-flash,+9.6%,9.6,,,,supported
2026-09-21,AAPL,C,analyst:Quantitative Strategist|gemini-3.6-flash,-0.20,-0.2,,,,supported
2026-09-21,AAPL,C,analyst:Risk Manager|gemini-3.5-flash,19,19.0,,,,supported
2026-09-21,AAPL,C,analyst:Risk Manager|gemini-3.5-flash,100,100.0,,,,supported
2026-09-21,AAPL,C,analyst:Risk Manager|gemini-3.5-flash,-0.2%,-0.2,,,,supported
2026-09-21,AAPL,C,analyst:Risk Manager|gemini-3.5-flash,252,252.0,,,,supported
2026-09-21,AAPL,C,analyst:Risk Manager|gemini-3.5-flash,-0.20,-0.2,,,,supported
2026-09-21,AAPL,C,analyst:Risk Manager|gemini-3.5-flash,24%,24.0,,,,supported
2026-09-21,AAPL,C,analyst:Value Investor|gemini-3.6-flash,60,60.0,,,,supported
2026-09-21,AAPL,C,analyst:Value Investor|gemini-3.6-flash,252,252.0,,,,supported
2026-09-21,AAPL,C,analyst:Value Investor|gemini-3.6-flash,338.98,338.98,,,,supported
2026-09-21,AAPL,C,analyst:Value Investor|gemini-3.6-flash,20,20.0,,,,supported
2026-09-21,AAPL,C,analyst:Value Investor|gemini-3.6-flash,9.6%,9.6,,,,supported
2026-09-21,AAPL,C,analyst:Value Investor|gemini-3.6-flash,19,19.0,,,,supported
2026-09-21,AAPL,C,analyst:Value Investor|gemini-3.6-flash,100,100.0,,,,supported
2026-09-21,AAPL,C,analyst:Value Investor|gemini-3.6-flash,4.96%,4.96,,,,supported
2026-09-21,AAPL,C,analyst:Behavioral Coach|gemini-3.6-flash,-0.2%,-0.2,,,,supported
2026-09-21,AAPL,C,analyst:Behavioral Coach|gemini-3.6-flash,60,60.0,,,,supported
2026-09-21,AAPL,C,analyst:Behavioral Coach|gemini-3.6-flash,252,252.0,,,,supported
2026-09-21,AAPL,C,analyst:Behavioral Coach|gemini-3.6-flash,20,20.0,,,,supported
2026-09-21,AAPL,C,analyst:Behavioral Coach|gemini-3.6-flash,9.6%,9.6,,,,supported
2026-09-21,AAPL,C,analyst:Behavioral Coach|gemini-3.6-flash,66.4,66.4,,,,supported
2026-09-21,AAPL,C,analyst:Global Macro|gemini-3.6-flash,4.96%,4.96,,,,supported
2026-09-21,AAPL,C,analyst:Global Macro|gemini-3.6-flash,+0.46,0.46,,,,supported
2026-09-21,AAPL,C,analyst:Global Macro|gemini-3.6-flash,3.4%,3.4,,,,supported
2026-09-21,AAPL,C,analyst:Global Macro|gemini-3.6-flash,4.1%,4.1,,,,supported
2026-09-21,AAPL,C,analyst:Technological Innovator|gemini-3.6-flash,-0.2%,-0.2,,,,supported
2026-09-21,AAPL,C,analyst:Technological Innovator|gemini-3.6-flash,60,60.0,,,,supported
2026-09-21,AAPL,C,analyst:Technological Innovator|gemini-3.6-flash,30,30.0,,,,supported
2026-09-21,AAPL,C,analyst:Technological Innovator|gemini-3.6-flash,200,200.0,,,,supported
2026-09-21,AAPL,C,analyst:Technological Innovator|gemini-3.6-flash,-0.20,-0.2,,,,supported
2026-09-21,AAPL,C,analyst:Technological Innovator|gemini-3.6-flash,24%,24.0,,,,supported
2026-09-21,AAPL,C,analyst:Personal Context|gemini-3.5-flash,50%,50.0,,,,supported
2026-09-21,AAPL,C,analyst:Personal Context|gemini-3.5-flash,19,19.0,,,,supported
2026-09-21,AAPL,C,analyst:Personal Context|gemini-3.5-flash,100,100.0,,,,supported
2026-09-21,AAPL,C,analyst:Personal Context|gemini-3.5-flash,-0.20,-0.2,,,,supported
2026-09-21,AAPL,C,analyst:Personal Context|gemini-3.5-flash,-0.2%,-0.2,,,,supported
2026-09-21,AAPL,C,analyst:Personal Context|gemini-3.5-flash,60,60.0,,,,supported
2026-09-21,AMZN,A,context,last price,258.45,258.450012,1.2e-05,0.005,verified
2026-09-21,AMZN,A,context,1-day move %,1.9,1.868277,0.031723,0.05,verified
2026-09-21,AMZN,A,context,5-day move %,1.9,1.936586,0.036586,0.05,verified
2026-09-21,AMZN,A,context,20-day move %,-0.1,-0.069595,0.030405,0.05,verified
2026-09-21,AMZN,A,context,distance from 60-day high %,-9.0,-9.002879,0.002879,0.05,verified
2026-09-21,AMZN,A,context,distance from 252-day high %,-9.0,-9.002879,0.002879,0.05,verified
2026-09-21,AMZN,A,context,20-day volatility %,27.0,27.071953,0.071953,0.5,verified
2026-09-21,AMZN,A,context,RSI,52.7,52.6902,0.0098,0.05,verified
2026-09-21,AMZN,A,context,engine confidence %,50.0,50.0,0.0,0.5,verified
2026-09-21,AMZN,A,context,engine signal,HOLD,HOLD,,,verified
2026-09-21,AMZN,A,context,above/below 200-day average,above,above,,,verified
2026-09-21,AMZN,A,context,risk score,38.0,38.3,0.3,0.5,verified
2026-09-21,AMZN,A,context,risk level,MEDIUM,MEDIUM,,,verified
2026-09-21,AMZN,A,context,macro line (verbatim),present,present,,,verified
2026-09-21,AMZN,A,context,Sharpe (not independently checked),,,,,not_checked
2026-09-21,AMZN,A,context,win rate (not independently checked),,,,,not_checked
2026-09-21,AMZN,A,context,beta (not independently checked),,,,,not_checked
2026-09-21,AMZN,A,context,correlation (not independently checked),,,,,not_checked
2026-09-21,AMZN,A,context,percentile (not independently checked),,,,,not_checked
2026-09-21,AMZN,B,ceo.headline,headline vote-weight %,100.0,100.0,0.0,0.5,verified
2026-09-21,AMZN,C,analyst:Quantitative Strategist|gemini-3.7-flash,52.7,52.7,,,,supported
2026-09-21,AMZN,C,analyst:Quantitative Strategist|gemini-3.7-flash,20,20.0,,,,supported
2026-09-21,AMZN,C,analyst:Quantitative Strategist|gemini-3.7-flash,-0.1%,-0.1,,,,supported
2026-09-21,AMZN,C,analyst:Quantitative Strategist|gemini-3.7-flash,20,20.0,,,,supported
2026-09-21,AMZN,C,analyst:Quantitative Strategist|gemini-3.7-flash,200,200.0,,,,supported
2026-09-21,AMZN,C,analyst:Quantitative Strategist|gemini-3.7-flash,9.0%,9.0,,,,supported
2026-09-21,AMZN,C,analyst:Quantitative Strategist|gemini-3.7-flash,60,60.0,,,,supported
2026-09-21,AMZN,C,analyst:Quantitative Strategist|gemini-3.7-flash,252,252.0,,,,supported
2026-09-21,AMZN,C,analyst:Quantitative Strategist|gemini-3.7-flash,200,200.0,,,,supported
2026-09-21,AMZN,C,analyst:Risk Manager|gemini-3.6-flash,27%,27.0,,,,supported
2026-09-21,AMZN,C,analyst:Risk Manager|gemini-3.6-flash,1.3,1.3,,,,supported
2026-09-21,AMZN,C,analyst:Risk Manager|gemini-3.6-flash,-9.0%,-9.0,,,,supported
2026-09-21,AMZN,C,analyst:Risk Manager|gemini-3.6-flash,60,60.0,,,,supported
2026-09-21,AMZN,C,analyst:Risk Manager|gemini-3.6-flash,4.96%,4.96,,,,supported
2026-09-21,AMZN,C,analyst:Risk Manager|gemini-3.6-flash,50%,50.0,,,,supported
2026-09-21,AMZN,C,analyst:Value Investor|gemini-3.7-flash,258.45,258.45,,,,supported
2026-09-21,AMZN,C,analyst:Value Investor|gemini-3.7-flash,52.7,52.7,,,,supported
2026-09-21,AMZN,C,analyst:Value Investor|gemini-3.7-flash,20,20.0,,,,supported
2026-09-21,AMZN,C,analyst:Value Investor|gemini-3.7-flash,-0.1%,-0.1,,,,supported
2026-09-21,AMZN,C,analyst:Value Investor|gemini-3.7-flash,9.0%,9.0,,,,supported
2026-09-21,AMZN,C,analyst:Value Investor|gemini-3.7-flash,60,60.0,,,,supported
2026-09-21,AMZN,C,analyst:Value Investor|gemini-3.7-flash,4.96%,4.96,,,,supported
2026-09-21,AMZN,C,analyst:Value Investor|gemini-3.7-flash,27%,27.0,,,,supported
2026-09-21,AMZN,C,analyst:Behavioral Coach|gemini-3.6-flash,50%,50.0,,,,supported
2026-09-21,AMZN,C,analyst:Behavioral Coach|gemini-3.6-flash,52.7,52.7,,,,supported
2026-09-21,AMZN,C,analyst:Behavioral Coach|gemini-3.6-flash,-9.0%,-9.0,,,,supported
2026-09-21,AMZN,C,analyst:Behavioral Coach|gemini-3.6-flash,60,60.0,,,,supported
2026-09-21,AMZN,C,analyst:Behavioral Coach|gemini-3.6-flash,+1.9%,1.9,,,,supported
2026-09-21,AMZN,C,analyst:Global Macro|gemini-3.6-flash,4.96%,4.96,,,,supported
2026-09-21,AMZN,C,analyst:Global Macro|gemini-3.6-flash,3.4%,3.4,,,,supported
2026-09-21,AMZN,C,analyst:Global Macro|gemini-3.6-flash,1.3,1.3,,,,supported
2026-09-21,AMZN,C,analyst:Technological Innovator|gemini-3.7-flash,52.7,52.7,,,,supported
2026-09-21,AMZN,C,analyst:Technological Innovator|gemini-3.7-flash,20,20.0,,,,supported
2026-09-21,AMZN,C,analyst:Technological Innovator|gemini-3.7-flash,-0.1%,-0.1,,,,supported
2026-09-21,AMZN,C,analyst:Technological Innovator|gemini-3.7-flash,200,200.0,,,,supported
2026-09-21,AMZN,C,analyst:Technological Innovator|gemini-3.7-flash,38,38.0,,,,supported
2026-09-21,AMZN,C,analyst:Technological Innovator|gemini-3.7-flash,100,100.0,,,,supported
2026-09-21,AMZN,C,analyst:Technological Innovator|gemini-3.7-flash,9.0%,9.0,,,,supported
2026-09-21,AMZN,C,analyst:Technological Innovator|gemini-3.7-flash,60,60.0,,,,supported
2026-09-21,AMZN,C,analyst:Personal Context|gemini-3.7-flash,50%,50.0,,,,supported
2026-09-21,AMZN,C,analyst:Personal Context|gemini-3.7-flash,52.7,52.7,,,,supported
2026-09-21,AMZN,C,analyst:Personal Context|gemini-3.7-flash,20,20.0,,,,supported
2026-09-21,AMZN,C,analyst:Personal Context|gemini-3.7-flash,-0.1%,-0.1,,,,supported
2026-09-21,AMZN,C,analyst:Personal Context|gemini-3.7-flash,1.3,1.3,,,,supported
2026-09-21,AMZN,C,analyst:Personal Context|gemini-3.7-flash,27%,27.0,,,,supported
2026-09-21,AMZN,C,analyst:Personal Context|gemini-3.7-flash,38,38.0,,,,supported
2026-09-21,AMZN,C,analyst:Personal Context|gemini-3.7-flash,100,100.0,,,,supported
2026-09-21,GLD,A,context,last price,398.38,398.380005,5e-06,0.005,verified
2026-09-21,GLD,A,context,1-day move %,-0.7,-0.695468,0.004532,0.05,verified
2026-09-21,GLD,A,context,5-day move %,1.4,1.410246,0.010246,0.05,verified
2026-09-21,GLD,A,context,20-day move %,-5.9,-5.900411,0.000411,0.05,verified
2026-09-21,GLD,A,context,distance from 60-day high %,-6.9,-6.935782,0.035782,0.05,verified
2026-09-21,GLD,A,context,distance from 252-day high %,-19.7,-19.665253,0.034747,0.05,verified
2026-09-21,GLD,A,context,20-day volatility %,23.0,23.161408,0.161408,0.5,verified
2026-09-21,GLD,A,context,RSI,48.5,48.509108,0.009108,0.05,verified
2026-09-21,GLD,A,context,engine confidence %,50.0,50.0,0.0,0.5,verified
2026-09-21,GLD,A,context,engine signal,HOLD,HOLD,,,verified
2026-09-21,GLD,A,context,above/below 200-day average,below,below,,,verified
2026-09-21,GLD,A,context,risk score,95.0,95.0,0.0,0.5,verified
2026-09-21,GLD,A,context,risk level,HIGH,HIGH,,,verified
2026-09-21,GLD,A,context,macro line (verbatim),present,present,,,verified
2026-09-21,GLD,A,context,Sharpe (not independently checked),,,,,not_checked
2026-09-21,GLD,A,context,win rate (not independently checked),,,,,not_checked
2026-09-21,GLD,A,context,beta (not independently checked),,,,,not_checked
2026-09-21,GLD,A,context,correlation (not independently checked),,,,,not_checked
2026-09-21,GLD,A,context,percentile (not independently checked),,,,,not_checked
2026-09-21,GLD,B,ceo.headline,headline vote-weight %,100.0,100.0,0.0,0.5,verified
2026-09-21,GLD,C,analyst:Quantitative Strategist|gemini-3.5-flash,200,200.0,,,,supported
2026-09-21,GLD,C,analyst:Quantitative Strategist|gemini-3.5-flash,19.7%,19.7,,,,supported
2026-09-21,GLD,C,analyst:Quantitative Strategist|gemini-3.5-flash,252,252.0,,,,supported
2026-09-21,GLD,C,analyst:Quantitative Strategist|gemini-3.5-flash,30,30.0,,,,supported
2026-09-21,GLD,C,analyst:Quantitative Strategist|gemini-3.5-flash,50,50.0,,,,supported
2026-09-21,GLD,C,analyst:Quantitative Strategist|gemini-3.5-flash,48.5,48.5,,,,supported
2026-09-21,GLD,C,analyst:Risk Manager|gemini-3.5-flash,95,95.0,,,,supported
2026-09-21,GLD,C,analyst:Risk Manager|gemini-3.5-flash,100,100.0,,,,supported
2026-09-21,GLD,C,analyst:Risk Manager|gemini-3.5-flash,-19.7%,-19.7,,,,supported
2026-09-21,GLD,C,analyst:Risk Manager|gemini-3.5-flash,252,252.0,,,,supported
2026-09-21,GLD,C,analyst:Risk Manager|gemini-3.5-flash,200,200.0,,,,supported
2026-09-21,GLD,C,analyst:Risk Manager|gemini-3.5-flash,90th,90.0,,,,supported
2026-09-21,GLD,C,analyst:Risk Manager|gemini-3.5-flash,23%,23.0,,,,supported
2026-09-21,GLD,C,analyst:Value Investor|gemini-3.1-flash-lite,4.96%,4.96,,,,supported
2026-09-21,GLD,C,analyst:Value Investor|gemini-3.1-flash-lite,200,200.0,,,,supported
2026-09-21,GLD,C,analyst:Value Investor|gemini-3.1-flash-lite,30,30.0,,,,supported
2026-09-21,GLD,C,analyst:Value Investor|gemini-3.1-flash-lite,50,50.0,,,,supported
2026-09-21,GLD,C,analyst:Value Investor|gemini-3.1-flash-lite,95,95.0,,,,supported
2026-09-21,GLD,C,analyst:Value Investor|gemini-3.1-flash-lite,100,100.0,,,,supported
2026-09-21,GLD,C,analyst:Value Investor|gemini-3.1-flash-lite,19.7%,19.7,,,,supported
2026-09-21,GLD,C,analyst:Behavioral Coach|gemini-3.5-flash,50%,50.0,,,,supported
2026-09-21,GLD,C,analyst:Behavioral Coach|gemini-3.5-flash,-0.71,-0.71,,,,supported
2026-09-21,GLD,C,analyst:Behavioral Coach|gemini-3.5-flash,24%,24.0,,,,supported
2026-09-21,GLD,C,analyst:Global Macro|gemini-3.1-flash-lite,0.46,0.46,,,,supported
2026-09-21,GLD,C,analyst:Global Macro|gemini-3.1-flash-lite,4.96%,4.96,,,,supported
2026-09-21,GLD,C,analyst:Global Macro|gemini-3.1-flash-lite,95,95.0,,,,supported
2026-09-21,GLD,C,analyst:Global Macro|gemini-3.1-flash-lite,100,100.0,,,,supported
2026-09-21,GLD,C,analyst:Global Macro|gemini-3.1-flash-lite,0.71,0.71,,,,supported
2026-09-21,GLD,C,analyst:Technological Innovator|gemini-3.5-flash,95,95.0,,,,supported
2026-09-21,GLD,C,analyst:Technological Innovator|gemini-3.5-flash,100,100.0,,,,supported
2026-09-21,GLD,C,analyst:Technological Innovator|gemini-3.5-flash,90th,90.0,,,,supported
2026-09-21,GLD,C,analyst:Technological Innovator|gemini-3.5-flash,-19.7%,-19.7,,,,supported
2026-09-21,GLD,C,analyst:Technological Innovator|gemini-3.5-flash,252,252.0,,,,supported
2026-09-21,GLD,C,analyst:Personal Context|gemini-3.5-flash,50%,50.0,,,,supported
2026-09-21,GLD,C,analyst:Personal Context|gemini-3.5-flash,-0.71,-0.71,,,,supported
2026-09-21,GLD,C,analyst:Personal Context|gemini-3.5-flash,24%,24.0,,,,supported
2026-09-21,GLD,C,analyst:Personal Context|gemini-3.5-flash,95,95.0,,,,supported
2026-09-21,GLD,C,analyst:Personal Context|gemini-3.5-flash,100,100.0,,,,supported
2026-09-21,GLD,C,analyst:Personal Context|gemini-3.5-flash,-19.7%,-19.7,,,,supported
2026-09-21,GOOGL,A,context,last price,354.97,354.970001,1e-06,0.005,verified
2026-09-21,GOOGL,A,context,1-day move %,1.6,1.553468,0.046532,0.05,verified
2026-09-21,GOOGL,A,context,5-day move %,1.6,1.597065,0.002935,0.05,verified
2026-09-21,GOOGL,A,context,20-day move %,3.0,3.009732,0.009732,0.05,verified
2026-09-21,GOOGL,A,context,distance from 60-day high %,-5.9,-5.945143,0.045143,0.05,verified
2026-09-21,GOOGL,A,context,distance from 252-day high %,-11.7,-11.725616,0.025616,0.05,verified
2026-09-21,GOOGL,A,context,20-day volatility %,23.0,23.426924,0.426924,0.5,verified
2026-09-21,GOOGL,A,context,RSI,58.9,58.896953,0.003047,0.05,verified
2026-09-21,GOOGL,A,context,engine confidence %,50.0,50.0,0.0,0.5,verified
2026-09-21,GOOGL,A,context,engine signal,HOLD,HOLD,,,verified
2026-09-21,GOOGL,A,context,above/below 200-day average,above,above,,,verified
2026-09-21,GOOGL,A,context,risk score,40.0,40.0,0.0,0.5,verified
2026-09-21,GOOGL,A,context,risk level,MEDIUM,MEDIUM,,,verified
2026-09-21,GOOGL,A,context,macro line (verbatim),present,present,,,verified
2026-09-21,GOOGL,A,context,Sharpe (not independently checked),,,,,not_checked
2026-09-21,GOOGL,A,context,win rate (not independently checked),,,,,not_checked
2026-09-21,GOOGL,A,context,beta (not independently checked),,,,,not_checked
2026-09-21,GOOGL,A,context,correlation (not independently checked),,,,,not_checked
2026-09-21,GOOGL,A,context,percentile (not independently checked),,,,,not_checked
2026-09-21,GOOGL,B,ceo.headline,headline vote-weight %,100.0,100.0,0.0,0.5,verified
2026-09-21,GOOGL,C,analyst:Quantitative Strategist|gemini-3.6-flash,-5.9%,-5.9,,,,supported
2026-09-21,GOOGL,C,analyst:Quantitative Strategist|gemini-3.6-flash,60,60.0,,,,supported
2026-09-21,GOOGL,C,analyst:Quantitative Strategist|gemini-3.6-flash,58.9,58.9,,,,supported
